Name,Mass,Radius,Distance
2MASS J22362452+4751425 b,0.01193235,23.092000000000002,nan
Sun,0.000015813,1,1
BD+15 2375 b,0.001012817868,15.383288,nan
Sirius,0008.6,2.1,1.71´
BD+20 594 b,4.896081852e-05,0.0199796,496.0
Canopus,0310,15,71
CI Tauri b,11.8,4.504650000000001,nan
Alpha Centauri,0004.4,1.1,1.2
EPIC 211901114 b,5.0,0.7,0.24000000000000002
Arcturus,0037,1.1,26
GJ 725 B b,3.6274344e-06,0.27108000000000004,nan
Vega,0025,2.2,2.7
Gliese 536 b,1.609435368e-05,0.87424304,nan
Capella,0043,2.6,12
Gliese 676 Ac,0.0064911984,736.6348,nan
Rigel,0860,23,78.9
Gliese 3998 b,7.41714876e-06,0.266036908,0.5
Procyon,0011.4,1.5,1.9
Gliese 3998 c,1.88053836e-05,1.379496,0.5
Betelgeuse,0640[1],20,950
HAT-P-65b,0.000503067876,0.189756,2740.0
Achernar,0144,6.7,9.3
HAT-P-66b,0.0007474424040000001,0.159636,3020.0
Hadar,0390,10.5,8.6
HATS-11b,0.0008113998,0.15160400000000002,2950.0
Altair,0017,1.8,1.8
HATS-12b,0.00227191944,0.13554000000000002,3200.0
Acrux,0320,18,8.9
HATS-18b,0.0018900842400000001,0.1342348,2100.0
Aldebaran,0065,1.5,44
HATS-19b,0.249,1.72,945.0
Antares,0600,12,680
HATS-20b,0.15400000000000003,0.41550000000000004,825.0
Spica,0260,11.43,7.47
HATS-21b,0.34199999999999997,1.216,482.0
Pollux,0034,1.9,8.8
HATS-22b,0.00261557112,0.0956812,678.0
Fomalhaut,0025,1.9,1.8
HATS-23b,0.00140324436,0.18674400000000002,2440.0
Deneb,2600,19,203
HATS-24b,0.00232919472,0.1492948,1700.0
Mimosa,0350,16,8.4
HATS-25b,0.000585162444,0.126504,0.99
Regulus,0077,3.8,3.1
HATS-26b,0.0006204822000000001,0.1757,1.3
Adhara,0430,12.5,14
HATS-27b,0.0005059316400000001,0.1506,1.42
Shaula,0700,14.5,8.8
HATS-28b,0.0006414831360000001,0.1198776,0.93
Castor,0052,2.8,2.4
HATS-29b,0.000623345964,0.1256004,1.03
Gacrux,0088,1.5,84
HATS-30b,0.000673939128,0.11797,1.09
Bellatrix,0240,8.6,5.8
HATS-31b,0.00084003744,0.164656,2840.0
Elnath,0130,5.0,4.2
HATS-32b,0.00087822096,0.12539960000000003,2740.0
Miaplacidus,0110,3.5,6.8
HATS-33b,0.0011378688959999999,0.123492,830.0
Alnilam,2000,32,42
HATS-34b,0.000898267308,0.143572,1740.0
Gamma Velorum,01100,9.0,6
HATS-35b,0.001166506536,0.1469856,1820.0
Alnair,0101,4.0,3.4
HD 3167 b,0.00013268773200000001,0.09634665120000001,nan
Alioth,0081,2.9,4.2
HD 3167 c,0.000242465352,2.99647816,nan
Alnitak,01050,33,20
HD 5583 b,0.005517518640000001,13.99074,nan
Dubhe,0120,4.25,30
HD 9174 b [id],0.0010595926800000001,118.3716,nan
Mirfak,0590,8.5,68
HD 12484 b,0.0028446722400000003,5.906532,nan
Wezen,1600,17,200
HD 30177 c,0.0072548688,1165.9452,nan
Sargas,0270,5.7,26
HD 35759 b,0.00358925088,8.2796868,nan
Kaus Australis,0140,3.5,6.8
HD 42618 b [id],4.3252382280000005e-05,15.020844000000002,1.01
Avior,0630,9.0,130
HD 68402 b,0.00293058516,110.7412,nan
Alkaid,0104,6.1,3.4
HD 72892 b [id],0.0052025046,3.96329,nan
Menkalinan,081,2.39,2.77
HD 86950 b,0.0034365168,127.50800000000001,nan
Atria,0390,7,92
HD87646 b [fr],0.011836891200000001,1.3534924,nan
Alhena,0109,2.8,3.3
HD 99706 c,0.0054316057200000005,128.3112,nan
Peacock,0180,5.9,4.8
HD 128356 b [id],0.00084958332,29.93928,nan
[2],0080,2.4,2.9
HD 131399 Ab,0.003818352,20080.0,2.08
Mirzam,0500,13.5,10
HD 133131 Ab,0.00135551496,65.1596,nan
Polaris,0430,5.4,39
HD 133131 Ac,0.00040092696,358.22720000000004,nan
Alphard,0180,3.0,50
HD 133131 Bb,0.00238647,579.2076000000001,nan
Mintaka,01200,24,16.5
HD 143105 b,0.00115505148,0.22061896,nan
Scheat,0196,2.1,95
HD 147873 b [id],0.00490658232,11.7062384,nan
Almaaz,0653,15,140
HD 147873 c [id],0.0021955524,49.350616,nan
Rasalgethi,0360,2.8,280
HD 156279 c,8.549999999999999,4151.0,nan
Tau Ceti,011.9,0.783,0.893
HD 164922 c,3.874672692e-05,7.606806000000001,0.87
Delta Pavonis,019.92,0.991,1.22
HD 165155 b,0.0027587593200000004,43.6238,nan
Ran,010.48,0.82,0.74
HD 191806 b,0.00813308976,161.27252000000001,nan
V382 Carinae,08900,20,485
HD 214823 b [id],0.0183280896,188.45080000000002,nan
Eta Carinae,07500,100,60–881
HD 219828 c,0.0144142788,481.01640000000003,nan
Delta Cephei,0887,4.5,44.5
HD 220842 b,0.00303558984,21.934388000000002,nan
Mu Cephei,06000,19.2,972
HD 221585 b [id],0.0015368866800000002,117.7692,nan
Titawin,044.25,1.27,1.48
HD 222076 b [id],0.00148915728,87.4484,nan
Rho Cassiopeiae,08154,22,808.5
HD 224538 b [id],0.00569889036,119.38564,nan
P Cygni,05545,30,76
HD 11343 b,0.005250234,156.64408,nan
La Superba,01000,,235.5
HIP 41378 b,0.000247238292,1.56334848,nan
VV Cephei,04900,18.2,783.0
HIP 41378 c,0.000217646064,3.1824591200000003,nan
61 Cygni,011.41,0.7,0.665
HIP 41378 d,0.000336969564,15.6624,nan
R Doradus,0178,0.85,298
HIP 41378 e,0.000469657296,13.1524,nan
Polaris Australis,0281,1.59,3.74
HIP 41378 f,0.0008686750800000001,32.5296,nan
R Coronae Borealis,04566,0.85,85
HIP 65407 b,0.00040856366400000003,2.82375,nan
54 Piscium,036.1,0.76,0.94
HIP 65407 c,0.0007483969920000001,6.75692,nan
Mira,0300,1.2,370
HD 135760 b [ru],0.0022910112,82.55892,nan
RW Cephei,014000,13.9,1158
HIP 109384 b,0.00148915728,50.147792,nan
Lacaille 8760,012.87,0.6,0.51
HIP 109600 b,0.00255829584,23.300832000000003,nan
V838 Monocerotis,019896,?,565.0
HR 2562 b,0.028637640000000002,0.11144400000000002,nan
HD 140283,0190,?,1.4
K2-8c,0.00020523642,0.508441664,nan
II Pegasi,0130,0.8,3.4
K2-19d,4.2001872e-05,0.0102408,950.0
VY Canis Majoris,03900,17,1420
K2-24b,5.9184456e-05,0.052208000000000004,590.0
Pistol Star,025000,100,320
K2-24c,7.827621600000001e-05,0.0725892,590.0
S Doradus,0169000,24,380
K2-26b,0.000227191944,1.4624766,nan
UY Scuti,05100,7–10,755
K2-27b,9.280504536000001e-05,0.04016,nan
Barnard's Star,05.98,0.14,0.20
K2-29b,0.00069684924,0.119476,600.0
Luhman 16,06.52,0.04,?
K2-30b,0.000552706452,0.1043156,910.0
Proxima Centauri,04.25,0.12,0.15
K2-31b,0.0016934391120000001,0.106424,nan
KIC 8462852,01470,1.43,1.58
K2-32b,4.955266308e-05,0.0459832,nan
R136a1,0163000,290,32
K2-32c,3.634116516e-05,0.027007600000000003,nan
Melnick 42,0163000,189,21.1
K2-32d,3.0938197080000005e-05,0.0307224,nan
WR 102,018134,19,0.39
K2-33b,0.0035319756000000003,0.045180000000000005,nan
VFTS 352,0164000,57.48,14.47
K2-34b,0.00168007488,0.13554000000000002,1230.0
YBP 1194,02772,1.01,0.99
K2-35b,0.0001193235,0.24094393600000003,nan
Gliese 1214,047.5,0.16,0.21
K2-35c,0.000177553368,0.563155648,nan
NML Cygni,05251,50,2205.0
K2-36b,0.00011264138399999999,0.142835064,nan
VB 10,018.72,0.075,0.10
K2-36c,0.000238647,0.536195236,nan
WOH G64,0163000,<20,1635.0
K2-37b,0.000137460672,0.44589346799999996,nan
TRAPPIST-1,039.6,0.089,0.12
K2-37c,0.00023387406,0.645475616,nan
2MASS J0523-1403,040.3,0.07,0.086
K2-37d,0.000232919472,1.414825756,nan
WISE 0855−0714,07.27,0.003,?
